comment,score,created_utc
3.5k into tgt shares,6,1732034389.0
Went in on TGT calls last minute because I’m a degenerate gambler. Looking forward to getting fucked come tomorrow morning ![img](emote|t5_2th52|52627),3,1732050224.0
Feel like a dumbass not selling tgt this morning,3,1732214944.0
TGT listed 9%  Actual 22%,1,1732192298.0
"I bought a couple puts just to feel like I'm attending the party. if TGT is losing grip on the 'broke middle class' market because they're all shopping at Walmart, I think GAP will lose them too. All three stores sell somewhat comparable clothing...",2,1732222094.0
I’m at a loss on my calls somehow. I’m hoping tgt beats earnings tom and drives walmart up,2,1732047970.0
"im in SNOW, PANW, ZIM, TGT, and WSM",3,1732096536.0
TGT is going to drop when people inevitably realize that WMT ate their business,-1,1732046555.0
"I picked jan 17 calls for TGT too, so if we both picked it, -30% at open tomorrow.",4,1732050293.0
Just bought gap on the dip. Drop was just a reaction to TGT crapping the bed.,3,1732117255.0
probably depends on tgt earnings tmrw but that would be crazy to see,1,1732031459.0
"I played some WMT 90c calendars, short 90c this week and long 90c for next week. risk is lower then buying calls outright. I think likely if WMT beats, that it will move above 90 temporarily then fall back down a bit.

If not, whatever. I plan to buy tgt puts if WMT beats",2,1731949217.0
Where you think TGT goes? 170+?,1,1731685747.0
Looks like TGT not WMT was the play,1,1732133965.0
I agree still quite a gamble everyone was confident on tgt calls before hand,1,1732227800.0
I got 12/6 TGT 170 Calls,2,1732052299.0
"My only issue with TGT is the IV is double that of WMT and the big play isn't really there. Not all of WMT's groceries come from the US and as to what degree it's really hard to even know. I know they say 2/3 of all their groceries are from the US but WMT is notorious for lying to promote their image. I don't think they are going to have a bad earnings and I think they will beat across the board. 

What I'm looking for here is a revised future earnings to the downside in anticipation of the tariff war and turbulence of the uncertainty the new cabinet nominations bring to the US and her trading partners. With the mood of the current market a weaker future earnings guidance could be all it takes. Shaving 5%-10% off the stock's price would still put it up 50% on the year.",4,1731782534.0
"yeah, probably because walmart took target's lunch.

puts on tgt",-1,1732041382.0
"Bud I've doubled my port in a month.

So everything I said in the other comment is true, except you weren't even sure about the play. ![img](emote|t5_2th52|31224)

And got so worked up because I hit the nail on the head

And why the fuck is TGT in the conversation now ![img](emote|t5_2th52|4271)

We both knew TGT was going to dump

Post your positions

God damn I hurt you by simply pointing out WMT 90c was a bad play

""Bu.. bu... I knew TGT was going to dump ![img](emote|t5_2th52|12787)""

TGT dumping only proves what I said about a consumer stock like this only hitting 20% change when it's down

Who cares, dude. And who cares you made a bad play on WMT

You need to take emotion out of trading immediately and simply learn from your mistakes rather than get all weird and defensive",1,1732115434.0
TGT is a core Becky Index stock. Never bet against Becky.,5,1732038952.0
"52 and I’ll be happy, had 1k target, zim, and azek calls lol so gotta have 1 of em cancel out tgt 😂",1,1732112813.0
